Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
HFD35_2	30.2029106269	31.465179451	35.192598705	36.0494284911	36.1529646079	39.7720322204	39.7482622385	39.9375676335	39.9321778865	39.9797762519	39.9414436116	39.8890744661	39.9002926458	39.8909917451	39.8653052929	39.8453918818	39.8475041321	39.8552581547	39.8189816993	39.8077352622	39.7803123514	39.719463701	39.7657329362	39.7212318762	39.7078272312	39.6427036301	39.6026507938	39.5504726215	39.5101494308	39.5011035652	39.4592522747	39.4166103166	39.3745543959	39.3608219834	39.3051478476	39.2607204185	39.2120098176	39.2184499843	39.1786092356	39.1293180331	39.1005960465	39.0799273233	38.1956705382	38.6571870421	39.0474161524	39.1187908789	39.0527138046	38.9885461026	38.9882846881	38.9288858344	38.8548815544	38.7588123491	38.7563229144	38.6509324576	38.5913879594
Lingon14_1	31.6886519435	31.7184270021	35.9954370323	36.5023726886	36.6280351172	40.2237882958	40.2462630609	40.3931987172	40.3968300771	40.4255578957	40.4126802375	40.376178361	40.3487900926	40.357089226	40.3484117634	40.350339209	40.3184865922	40.2794349853	40.2584433325	40.2323893829	40.2378061273	40.2506452112	40.2377830646	40.2277039598	40.2116226261	40.1984283212	40.1839786658	40.1707030728	40.1448515023	40.1313826734	40.1210890441	40.0945655605	40.0843441217	40.0432762754	40.0253757136	39.9994614142	39.9941159961	39.9669946551	39.9493004754	39.9250383697	39.9068342621	39.9005751586	39.427689176	39.6784511565	39.8903507176	39.9250746241	39.9071948052	39.9192395205	39.9014415357	39.853357973	39.8345762504	39.833678941	39.7919707963	39.7906762344	39.7639899015
Lingon14_2	30.4775572589	31.3600855187	35.1771287557	35.9304451066	36.205247663	39.734808288	39.6447449223	39.7854011418	39.8181548889	39.8575298292	39.8127306844	39.7681824095	39.7803688221	39.7612036755	39.7418554825	39.720162622	39.7301507494	39.7434318921	39.6999639275	39.686126504	39.6499850342	39.5907593877	39.6455173198	39.61840121	39.6033282689	39.5461570723	39.4915931039	39.4410197648	39.4070519708	39.3995120431	39.3593656606	39.3251346237	39.2820402575	39.2726054996	39.2124025292	39.1837476744	39.1358743148	39.1568517752	39.1279420474	39.0835008074	39.0599531467	39.0405465918	38.1773909978	38.6347551573	39.0366421634	39.1046619055	39.0525187072	38.9945972206	38.9985431801	38.935923761	38.8662953579	38.7784870926	38.7770463757	38.6663952965	38.6187740806
Lingon24_1	31.7550615658	31.666359265	36.008245566	36.4954229446	36.6189966094	40.2901462926	40.2659252478	40.3971273232	40.4081722528	40.4308618076	40.4169148361	40.3742678742	40.3541414777	40.3599587242	40.3535256792	40.3544003446	40.3229358199	40.2851924938	40.2615673451	40.2366282758	40.2307059989	40.2405383745	40.2250442625	40.217075159	40.201968194	40.1897373525	40.174397077	40.1605245586	40.1291418599	40.1193166763	40.1082152962	40.0813050296	40.0689577138	40.0268749851	40.010185779	39.9843378484	39.9799064876	39.9498780571	39.9287682104	39.9074129761	39.8900977488	39.8829091814	39.4243368496	39.6654124534	39.8771733538	39.9089258754	39.8905052958	39.9015935584	39.8854343894	39.8386951767	39.8211980234	39.8251300147	39.7793683266	39.7789759327	39.7529803172
Lingon24_2	30.2865056906	31.5748792218	35.3962407616	36.1572200358	36.3312510895	39.7470612517	39.7791525213	39.9022034766	39.974756424	39.9997884465	39.9762726705	39.948699292	39.9421323128	39.9393612649	39.913976427	39.9087149099	39.9002079892	39.8938745466	39.8706787471	39.8594330746	39.8290231963	39.8055812402	39.8180855588	39.7808086274	39.7631400421	39.7124913639	39.6757797965	39.6292393365	39.5923755609	39.5812163282	39.5414167219	39.5005484017	39.4591164364	39.4491921931	39.3924389501	39.3530853385	39.3084863579	39.315697587	39.2789942971	39.2304940383	39.2013165259	39.1784686566	38.3381019493	38.783946739	39.15101519	39.2189234591	39.153300393	39.0880928349	39.0904780476	39.0303373702	38.9639682354	38.8713703556	38.8688380461	38.7664976681	38.707623643
Lingon34_1	31.6854663912	31.6442308599	35.8510033256	36.365164168	36.4950871601	40.0814412508	40.1229629467	40.2763576911	40.2988195733	40.3249631621	40.3103795538	40.2991313449	40.2702834235	40.2687842092	40.2603347392	40.2405684877	40.1909923503	40.14245237	40.1132246029	40.0937477339	40.0916130112	40.0626637946	40.050362025	40.0376554825	40.0094009198	39.9987647424	39.9862501849	39.9669938086	39.9322311992	39.9053525291	39.8668263158	39.8295877526	39.8194389252	39.7703488688	39.7402958744	39.6989441822	39.6721309573	39.6419491572	39.5869437783	39.5430689518	39.5344031587	39.4998149493	39.0123536636	39.262477076	39.5204759071	39.5542850272	39.5461805047	39.5028552556	39.4659014974	39.4106948878	39.367838316	39.2257160279	39.2971170434	39.2061605248	39.1880970752
Lingon34_2	30.7300364608	31.320482787	35.1883038352	35.9252887389	36.0942249317	39.3536149742	39.4555190339	39.6795326226	39.6480010355	39.7480506452	39.704700469	39.6603014001	39.6443236345	39.6650220284	39.6610989809	39.6463590109	39.5869096507	39.5926125931	39.5548569938	39.5496409935	39.5123623654	39.4725537594	39.4540141543	39.4427731064	39.3977775062	39.3302916975	39.2711207065	39.2240769945	39.192947325	39.1383804842	38.8949901433	38.9147076734	38.8801733521	38.9154585269	38.891364183	38.6536426117	38.603031541	38.7209430071	38.745761555	38.6496385733	38.6154342886	38.5920407171	37.8241993917	38.2719848656	38.5978118242	38.6135347429	38.6095808309	38.5656700186	38.510015308	38.4298451194	38.3799278416	38.3257833586	38.2898123224	38.1666793267	38.0911120192
Lingon35_1	31.6031423239	31.717828738	35.8971330088	36.4063927787	36.5176000186	40.2205246438	40.153189053	40.3361958785	40.3338503835	40.3491986156	40.3340099939	40.3106380924	40.2808224517	40.2744328893	40.2652816119	40.2208327421	40.1753867703	40.1906219682	40.1558654942	40.1304233839	40.0881975206	40.0852028318	40.0811953766	40.0873930728	40.0591283972	40.0525752387	40.0405418432	40.0220655891	39.9868440017	39.9540523954	39.9503444184	39.9150093797	39.9044785192	39.8552138071	39.836163252	39.7953633163	39.756499422	39.7173798915	39.6707575574	39.6488232159	39.6207677393	39.5983353798	39.0942181808	39.4274274345	39.6350181165	39.6602105227	39.627871424	39.5879812772	39.5588659019	39.5302761196	39.4901338123	39.4408056083	39.3893236363	39.3219711298	39.2753203401
Lingon35_2	30.7629309262	31.1246057126	34.9113827372	35.4351603849	35.6296643537	39.2028413441	39.0438777666	39.2187291653	39.1724539051	39.2205901749	39.2215569675	39.1837397638	39.1959312867	39.2076531544	39.1910054226	39.1502459456	39.1687730396	39.1556339107	39.113370184	39.0983509978	39.0395045143	38.9917138353	39.014681103	39.0057302656	38.946288904	38.9376481112	38.8443722531	38.8048622238	38.7584231822	38.7229472562	38.6623967781	38.6470139266	38.5622156823	38.5298001152	38.4681994245	38.4184012872	38.4132658069	38.3584773404	38.3293123301	38.3252291017	38.3312159768	38.2930102207	37.112711675	37.5803216438	38.1678161647	38.2041528935	38.2444711708	38.1418466077	38.110486722	37.9624837574	37.8761930812	37.7338112872	37.6335096494	37.4542089935	37.3428745843
Lingon36_1	31.6896527536	31.6629635846	35.9921360646	36.5012549916	36.60325527	40.3062304563	40.2672562915	40.3973217542	40.40939784	40.432173546	40.4146920458	40.377320996	40.3539738938	40.3666543782	40.3570068276	40.3524589802	40.321870801	40.28413695	40.2621777044	40.2332576094	40.2359358012	40.2421217471	40.2304339009	40.2225753234	40.2057691792	40.1882588188	40.1716704994	40.1568730891	40.1282986413	40.1158074367	40.1035502205	40.0753018796	40.0635361424	40.0212521929	40.0031653486	39.9732864732	39.9686594742	39.9390880659	39.9174001783	39.8924966957	39.8698416533	39.8625371378	39.3752750275	39.6330622875	39.8519415675	39.8863327665	39.8664234515	39.8757679023	39.8567274103	39.8056776099	39.7849975786	39.784474763	39.7389078629	39.7346768926	39.7080253185
